Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G004.fsa,G016.fsa,G073.fsa,G093.fsa,H011.fsa,H130.fsa,L070.fsa,L117.fsa,V002.fsa,V008.fsa,V050.fsa,V116.fsa
aes_3~~~aes_2~~~aes_5,aes_3;aes_2;aes_5,Acetyl esterase,12,12,1.0,1,4464,,,,936,936,936.0,BEOABDLH_06507,IGIKDAHF_06558,DPGEGJOO_05816,MPBMMNBG_06704,INCINKBK_06863,AAIMJHFH_07829,CEOONHHG_06208,NAIMLHBL_06549,FBJECBCC_05244,DHFEOIJP_06730,EGPCAGCP_06814,FIDFLPKG_07338
csqR_2~~~csqR,csqR_2;csqR,HTH-type transcriptional repressor CsqR,12,12,1.0,1,4463,,,,786,786,786.0,BEOABDLH_06501,IGIKDAHF_06552,DPGEGJOO_05810,MPBMMNBG_06698,INCINKBK_06857,AAIMJHFH_07823,CEOONHHG_06202,NAIMLHBL_06543,FBJECBCC_05238,DHFEOIJP_06724,EGPCAGCP_06808,FIDFLPKG_07332
melD_1~~~melD_2,melD_1;melD_2,Melibiose/raffinose/stachyose import permease protein MelD,12,12,1.0,1,4459,,,,363,954,894.9,BEOABDLH_02472,IGIKDAHF_02158,2_refound_57,MPBMMNBG_02251,INCINKBK_02428,AAIMJHFH_02973,CEOONHHG_01937,NAIMLHBL_02000,8_refound_178,DHFEOIJP_00223,EGPCAGCP_04326,FIDFLPKG_02249
cydA,cydA,Cytochrome bd-I ubiquinol oxidase subunit 1,12,12,1.0,1,4458,,,,1581,1581,1581.0,BEOABDLH_07522,IGIKDAHF_06719,DPGEGJOO_06796,MPBMMNBG_07049,INCINKBK_06979,AAIMJHFH_07057,CEOONHHG_07258,NAIMLHBL_06725,FBJECBCC_06756,DHFEOIJP_06863,EGPCAGCP_07165,FIDFLPKG_07676
carA_1,carA_1,Caffeate CoA-transferase,12,12,1.0,1,4457,,,,1614,1620,1616.5,BEOABDLH_02468,IGIKDAHF_02154,DPGEGJOO_01946,MPBMMNBG_02247,INCINKBK_02424,AAIMJHFH_02969,CEOONHHG_01933,NAIMLHBL_01996,FBJECBCC_01972,DHFEOIJP_00227,EGPCAGCP_01990,FIDFLPKG_02246
group_2348,,hypothetical protein,12,12,1.0,1,4454,,,,150,159,158.1818181818182,BEOABDLH_05592,IGIKDAHF_05187,DPGEGJOO_00104,MPBMMNBG_06791,INCINKBK_05449,AAIMJHFH_07984,CEOONHHG_06998,NAIMLHBL_05410,8_refound_177,DHFEOIJP_05273,EGPCAGCP_06887,FIDFLPKG_05580
xylH_1,xylH_1,Xylose transport system permease protein XylH,12,12,1.0,1,4448,,,,1206,1206,1206.0,BEOABDLH_04314,IGIKDAHF_03972,DPGEGJOO_03666,MPBMMNBG_04002,INCINKBK_04232,AAIMJHFH_04786,CEOONHHG_03853,NAIMLHBL_03852,FBJECBCC_03692,DHFEOIJP_03981,EGPCAGCP_03713,FIDFLPKG_04056
group_2342,,hypothetical protein,12,12,1.0,1,4447,,,,162,162,162.0,BEOABDLH_04087,IGIKDAHF_03752,DPGEGJOO_03440,MPBMMNBG_03781,INCINKBK_04013,AAIMJHFH_04557,CEOONHHG_03626,NAIMLHBL_03636,FBJECBCC_03466,DHFEOIJP_03758,EGPCAGCP_03479,FIDFLPKG_03828
group_2339,,hypothetical protein,12,12,1.0,1,4443,,,,249,249,249.0,BEOABDLH_07324,IGIKDAHF_06779,DPGEGJOO_06602,MPBMMNBG_06873,INCINKBK_07035,AAIMJHFH_08155,CEOONHHG_07058,NAIMLHBL_06785,FBJECBCC_06563,DHFEOIJP_06918,EGPCAGCP_06965,FIDFLPKG_07478
group_2338,,hypothetical protein,12,12,1.0,1,4442,,,,255,255,255.0,BEOABDLH_06206,IGIKDAHF_05817,DPGEGJOO_06190,MPBMMNBG_05904,INCINKBK_06041,AAIMJHFH_06482,CEOONHHG_05855,NAIMLHBL_05582,FBJECBCC_05619,DHFEOIJP_05951,EGPCAGCP_06083,FIDFLPKG_06352
group_2334,,hypothetical protein,12,12,1.0,1,4438,,,,174,174,174.0,BEOABDLH_06204,IGIKDAHF_05815,DPGEGJOO_06188,MPBMMNBG_05902,INCINKBK_06039,AAIMJHFH_06480,CEOONHHG_05853,NAIMLHBL_05580,FBJECBCC_05617,DHFEOIJP_05949,EGPCAGCP_06081,FIDFLPKG_06350
lrp_6~~~lrp_5~~~lrp_4,lrp_6;lrp_5;lrp_4,Leucine-responsive regulatory protein,12,12,1.0,1,4437,,,,468,468,468.0,BEOABDLH_03657,IGIKDAHF_03299,DPGEGJOO_03011,MPBMMNBG_03329,INCINKBK_03583,AAIMJHFH_04125,CEOONHHG_03195,NAIMLHBL_03184,FBJECBCC_03035,DHFEOIJP_03330,EGPCAGCP_03050,FIDFLPKG_03380
group_2333,,hypothetical protein,12,12,1.0,1,4435,,,,429,450,442.75,BEOABDLH_02844,IGIKDAHF_02471,DPGEGJOO_02196,MPBMMNBG_02522,INCINKBK_02760,AAIMJHFH_03292,CEOONHHG_02187,NAIMLHBL_02223,FBJECBCC_02221,DHFEOIJP_02509,EGPCAGCP_02241,FIDFLPKG_02564
group_2329,,hypothetical protein,12,12,1.0,1,4431,,,,183,183,183.0,BEOABDLH_01857,IGIKDAHF_01528,DPGEGJOO_01335,MPBMMNBG_01612,INCINKBK_01731,AAIMJHFH_02288,CEOONHHG_01324,NAIMLHBL_01368,FBJECBCC_01360,DHFEOIJP_01523,EGPCAGCP_01383,FIDFLPKG_01634
group_2328,,hypothetical protein,12,12,1.0,1,4430,,,,315,315,315.0,BEOABDLH_06316,IGIKDAHF_05890,DPGEGJOO_06266,MPBMMNBG_05977,INCINKBK_06114,AAIMJHFH_06578,CEOONHHG_06073,NAIMLHBL_05655,FBJECBCC_05695,DHFEOIJP_06042,EGPCAGCP_05607,FIDFLPKG_06462
kdgK_2~~~kdgK,kdgK_2;kdgK,2-dehydro-3-deoxygluconokinase,12,12,1.0,1,4429,,,,921,921,921.0,BEOABDLH_04241,IGIKDAHF_03906,DPGEGJOO_03594,MPBMMNBG_03937,INCINKBK_04168,AAIMJHFH_04713,CEOONHHG_03779,NAIMLHBL_03790,FBJECBCC_03620,DHFEOIJP_03917,EGPCAGCP_03641,FIDFLPKG_03984
purU_1,purU_1,Formyltetrahydrofolate deformylase,12,12,1.0,1,4428,,,,885,885,885.0,BEOABDLH_00771,IGIKDAHF_00372,DPGEGJOO_00308,MPBMMNBG_00559,INCINKBK_00747,AAIMJHFH_01223,CEOONHHG_00219,NAIMLHBL_00231,FBJECBCC_00345,DHFEOIJP_00474,EGPCAGCP_00308,FIDFLPKG_00545
group_2327,,hypothetical protein,12,12,1.0,1,4427,,,,174,174,174.0,BEOABDLH_03750,IGIKDAHF_03394,DPGEGJOO_03108,MPBMMNBG_03421,INCINKBK_03675,AAIMJHFH_04219,CEOONHHG_03290,NAIMLHBL_03278,FBJECBCC_03132,DHFEOIJP_03424,EGPCAGCP_03147,FIDFLPKG_03476
group_2323,,hypothetical protein,12,12,1.0,1,4423,,,,786,786,786.0,BEOABDLH_04993,IGIKDAHF_04669,DPGEGJOO_04359,MPBMMNBG_04791,INCINKBK_04962,AAIMJHFH_05434,CEOONHHG_04546,NAIMLHBL_04895,FBJECBCC_04385,DHFEOIJP_04688,EGPCAGCP_04399,FIDFLPKG_04801
group_2322,,hypothetical protein,12,12,1.0,1,4422,,,,708,708,708.0,BEOABDLH_04337,IGIKDAHF_04001,DPGEGJOO_03689,MPBMMNBG_04051,INCINKBK_04260,AAIMJHFH_04809,CEOONHHG_03884,NAIMLHBL_03881,FBJECBCC_03715,DHFEOIJP_04006,EGPCAGCP_03736,FIDFLPKG_04078
btuD_7~~~hepA~~~btuD_8,btuD_7;hepA;btuD_8,Vitamin B12 import ATP-binding protein BtuD;Heterocyst differentiation ATP-binding protein HepA,12,12,1.0,1,4420,,,,1755,1755,1755.0,BEOABDLH_04333,IGIKDAHF_03997,DPGEGJOO_03685,MPBMMNBG_04047,INCINKBK_04256,AAIMJHFH_04805,CEOONHHG_03880,NAIMLHBL_03877,FBJECBCC_03711,DHFEOIJP_04002,EGPCAGCP_03732,FIDFLPKG_04074
hhoB~~~htrA_2,;hhoB;htrA_2,hypothetical protein;Putative serine protease HhoB;Putative serine protease HtrA,12,12,1.0,1,4419,,,,957,1029,963.0,BEOABDLH_03636,IGIKDAHF_03271,DPGEGJOO_02991,MPBMMNBG_03299,INCINKBK_03557,AAIMJHFH_04104,CEOONHHG_03174,NAIMLHBL_03156,FBJECBCC_03015,DHFEOIJP_03304,EGPCAGCP_03029,FIDFLPKG_03359
group_2320,,hypothetical protein,12,12,1.0,1,4418,,,,405,405,405.0,BEOABDLH_01153,IGIKDAHF_00819,DPGEGJOO_00690,MPBMMNBG_01036,INCINKBK_01166,AAIMJHFH_01606,CEOONHHG_00637,NAIMLHBL_00676,FBJECBCC_00726,DHFEOIJP_00889,EGPCAGCP_00699,FIDFLPKG_00931
group_2317,,hypothetical protein,12,12,1.0,1,4415,,,,291,291,291.0,BEOABDLH_02960,IGIKDAHF_02571,DPGEGJOO_02310,MPBMMNBG_02634,INCINKBK_02861,AAIMJHFH_03408,CEOONHHG_02303,NAIMLHBL_02325,FBJECBCC_02334,DHFEOIJP_02616,EGPCAGCP_02356,FIDFLPKG_02680
mdtA_4,mdtA_4,Multidrug resistance protein MdtA,12,12,1.0,1,4412,,,,1209,1209,1209.0,BEOABDLH_03949,IGIKDAHF_03609,DPGEGJOO_03304,MPBMMNBG_03636,INCINKBK_03871,AAIMJHFH_04419,CEOONHHG_03489,NAIMLHBL_03493,FBJECBCC_03329,DHFEOIJP_03614,EGPCAGCP_03340,FIDFLPKG_03668
group_2315,,hypothetical protein,12,12,1.0,1,4410,,,,333,339,335.5,BEOABDLH_01475,IGIKDAHF_01161,DPGEGJOO_01006,MPBMMNBG_01352,INCINKBK_01489,AAIMJHFH_01929,CEOONHHG_00954,NAIMLHBL_01000,FBJECBCC_01041,DHFEOIJP_01206,EGPCAGCP_01056,FIDFLPKG_01300
fadA,fadA,Putative acyltransferase,12,12,1.0,1,4408,,,,1209,1209,1209.0,BEOABDLH_01148,IGIKDAHF_00814,DPGEGJOO_00685,MPBMMNBG_01031,INCINKBK_01161,AAIMJHFH_01601,CEOONHHG_00632,NAIMLHBL_00671,FBJECBCC_00721,DHFEOIJP_00884,EGPCAGCP_00694,FIDFLPKG_00926
rcsC_6~~~rcsC_7~~~rcsC_5,rcsC_6;rcsC_7;rcsC_5,Sensor histidine kinase RcsC,12,12,1.0,1,4407,,,,1722,1743,1725.5,BEOABDLH_01462,IGIKDAHF_01148,DPGEGJOO_00993,MPBMMNBG_01339,INCINKBK_01474,AAIMJHFH_01916,CEOONHHG_00941,NAIMLHBL_00987,FBJECBCC_01028,DHFEOIJP_01192,EGPCAGCP_01043,FIDFLPKG_01287
group_2313,,hypothetical protein,12,12,1.0,1,4406,,,,231,231,231.0,BEOABDLH_03276,IGIKDAHF_02896,DPGEGJOO_02631,MPBMMNBG_02957,INCINKBK_03178,AAIMJHFH_03724,CEOONHHG_02618,NAIMLHBL_02706,FBJECBCC_02655,DHFEOIJP_02930,EGPCAGCP_02667,FIDFLPKG_02998
group_2312,,putative protein,12,12,1.0,1,4405,,,,1407,1416,1413.25,BEOABDLH_05269,IGIKDAHF_04916,DPGEGJOO_04631,MPBMMNBG_05050,INCINKBK_05210,AAIMJHFH_05707,CEOONHHG_04818,NAIMLHBL_05146,FBJECBCC_04657,DHFEOIJP_04937,EGPCAGCP_04668,FIDFLPKG_05074
azoR_1,azoR_1,FMN-dependent NADH-azoreductase,12,12,1.0,1,4400,,,,582,594,593.0,BEOABDLH_00825,IGIKDAHF_00435,DPGEGJOO_00359,MPBMMNBG_00619,INCINKBK_00803,AAIMJHFH_01277,CEOONHHG_00272,NAIMLHBL_00294,FBJECBCC_00396,DHFEOIJP_00532,EGPCAGCP_00359,FIDFLPKG_00599
group_2308,,hypothetical protein,12,12,1.0,1,4399,,,,954,966,958.0,BEOABDLH_00337,IGIKDAHF_01345,DPGEGJOO_01173,MPBMMNBG_01519,INCINKBK_01669,AAIMJHFH_02099,CEOONHHG_01124,NAIMLHBL_01183,FBJECBCC_01210,DHFEOIJP_01382,EGPCAGCP_01220,FIDFLPKG_01468
bcr_2,bcr_2,Bicyclomycin resistance protein,12,12,1.0,1,4398,,,,1212,1212,1212.0,BEOABDLH_03279,IGIKDAHF_02898,DPGEGJOO_02634,MPBMMNBG_02959,INCINKBK_03180,AAIMJHFH_03727,CEOONHHG_02621,NAIMLHBL_02708,FBJECBCC_02658,DHFEOIJP_02932,EGPCAGCP_02670,FIDFLPKG_03001
group_2307,,hypothetical protein,12,12,1.0,1,4397,,,,1194,1209,1207.75,BEOABDLH_04338,IGIKDAHF_04002,DPGEGJOO_03690,MPBMMNBG_04052,INCINKBK_04261,AAIMJHFH_04810,CEOONHHG_03885,NAIMLHBL_03882,FBJECBCC_03716,DHFEOIJP_04007,EGPCAGCP_03737,FIDFLPKG_04079
malK_12~~~malK_1~~~malK_9,malK_12;malK_1;malK_9,Maltose/maltodextrin import ATP-binding protein MalK,12,12,1.0,1,4395,,,,978,978,978.0,BEOABDLH_05650,IGIKDAHF_05411,DPGEGJOO_04974,MPBMMNBG_05508,INCINKBK_05529,AAIMJHFH_06027,CEOONHHG_05082,NAIMLHBL_04716,FBJECBCC_05004,DHFEOIJP_00047,EGPCAGCP_05212,FIDFLPKG_05782
group_2306,,hypothetical protein,12,12,1.0,1,4394,,,,483,483,483.0,BEOABDLH_07349,IGIKDAHF_06800,DPGEGJOO_06627,MPBMMNBG_06898,INCINKBK_07059,AAIMJHFH_08180,CEOONHHG_07083,NAIMLHBL_06805,FBJECBCC_06588,DHFEOIJP_06939,EGPCAGCP_06990,FIDFLPKG_07503
group_2305,,hypothetical protein,12,12,1.0,1,4392,,,,258,258,258.0,BEOABDLH_05155,IGIKDAHF_04803,DPGEGJOO_04517,MPBMMNBG_04932,INCINKBK_05100,AAIMJHFH_05593,CEOONHHG_04703,NAIMLHBL_05029,FBJECBCC_04543,DHFEOIJP_04824,EGPCAGCP_04554,FIDFLPKG_04959
group_2303,,hypothetical protein,12,12,1.0,1,4390,,,,258,312,266.25,BEOABDLH_01166,IGIKDAHF_00832,DPGEGJOO_00703,MPBMMNBG_01050,INCINKBK_01179,AAIMJHFH_01619,CEOONHHG_00650,NAIMLHBL_00689,FBJECBCC_00739,DHFEOIJP_00902,EGPCAGCP_00712,FIDFLPKG_00944
aroC,aroC,Chorismate synthase,12,12,1.0,1,4389,,,,1146,1338,1180.5,BEOABDLH_01558,IGIKDAHF_01256,DPGEGJOO_01088,MPBMMNBG_01431,INCINKBK_01587,AAIMJHFH_02012,CEOONHHG_01036,NAIMLHBL_01094,FBJECBCC_01123,DHFEOIJP_01300,EGPCAGCP_01138,FIDFLPKG_01382
fabI_2,fabI_2,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,12,12,1.0,1,4387,,,,819,819,819.0,BEOABDLH_01562,IGIKDAHF_01261,DPGEGJOO_01092,MPBMMNBG_01435,INCINKBK_01592,AAIMJHFH_02016,CEOONHHG_01040,NAIMLHBL_01099,FBJECBCC_01127,DHFEOIJP_01305,EGPCAGCP_01142,FIDFLPKG_01386
mdtE_2,mdtE_2,Multidrug resistance protein MdtE,12,12,1.0,1,4386,,,,1212,1212,1212.0,BEOABDLH_04581,IGIKDAHF_04247,DPGEGJOO_03933,MPBMMNBG_04349,INCINKBK_04503,AAIMJHFH_05053,CEOONHHG_04131,NAIMLHBL_04197,FBJECBCC_03958,DHFEOIJP_04253,EGPCAGCP_03981,FIDFLPKG_04393
carA_2,carA_2,Carbamoyl-phosphate synthase small chain,12,12,1.0,1,4384,,,,1212,1212,1212.0,BEOABDLH_04100,IGIKDAHF_03763,DPGEGJOO_03454,MPBMMNBG_03794,INCINKBK_04024,AAIMJHFH_04571,CEOONHHG_03639,NAIMLHBL_03647,FBJECBCC_03480,DHFEOIJP_03769,EGPCAGCP_03492,FIDFLPKG_03841
kefB,kefB,Glutathione-regulated potassium-efflux system protein KefB,12,12,1.0,1,4382,,,,1749,1749,1749.0,BEOABDLH_04982,IGIKDAHF_04657,DPGEGJOO_04348,MPBMMNBG_04779,INCINKBK_04949,AAIMJHFH_05423,CEOONHHG_04535,NAIMLHBL_04883,FBJECBCC_04374,DHFEOIJP_04675,EGPCAGCP_04388,FIDFLPKG_04790
icd,icd,Isocitrate dehydrogenase [NADP],12,12,1.0,1,4381,,,,1212,1212,1212.0,BEOABDLH_03295,IGIKDAHF_02915,DPGEGJOO_02647,MPBMMNBG_02974,INCINKBK_03195,AAIMJHFH_03740,CEOONHHG_02635,NAIMLHBL_02723,FBJECBCC_02671,DHFEOIJP_02947,EGPCAGCP_02685,FIDFLPKG_03016
group_2299,,hypothetical protein,12,12,1.0,1,4380,,,,291,291,291.0,BEOABDLH_05049,IGIKDAHF_04727,DPGEGJOO_04414,MPBMMNBG_04845,INCINKBK_05022,AAIMJHFH_05490,CEOONHHG_04601,NAIMLHBL_04953,FBJECBCC_04440,DHFEOIJP_04746,EGPCAGCP_04454,FIDFLPKG_04857
maa_1,maa_1,Maltose O-acetyltransferase,12,12,1.0,1,4379,,,,549,549,549.0,BEOABDLH_00793,IGIKDAHF_00401,DPGEGJOO_00327,MPBMMNBG_00585,INCINKBK_00769,AAIMJHFH_01245,CEOONHHG_00240,NAIMLHBL_00260,FBJECBCC_00364,DHFEOIJP_00496,EGPCAGCP_00327,FIDFLPKG_00567
group_2297,,hypothetical protein;26 kDa periplasmic immunogenic protein,12,13,1.0833333333333333,1,4377,,,,123,741,667.1538461538462,BEOABDLH_04071,IGIKDAHF_03737,DPGEGJOO_03424,MPBMMNBG_03766,INCINKBK_00444;INCINKBK_00443,AAIMJHFH_04541,CEOONHHG_03609,NAIMLHBL_03621,FBJECBCC_03450,DHFEOIJP_03742,EGPCAGCP_03462,FIDFLPKG_03811
group_2296,,hypothetical protein,12,12,1.0,1,4376,,,,297,297,297.0,BEOABDLH_06701,IGIKDAHF_06007,DPGEGJOO_06488,MPBMMNBG_06091,INCINKBK_06305,AAIMJHFH_07246,CEOONHHG_06402,NAIMLHBL_05998,FBJECBCC_05918,DHFEOIJP_06181,EGPCAGCP_06259,FIDFLPKG_06746
degP_1,degP_1;,Periplasmic serine endoprotease DegP;hypothetical protein,12,12,1.0,1,4375,,,,1506,1680,1613.0,BEOABDLH_01865,IGIKDAHF_01536,DPGEGJOO_01343,MPBMMNBG_01620,INCINKBK_01739,AAIMJHFH_02296,CEOONHHG_01332,NAIMLHBL_01376,FBJECBCC_01367,DHFEOIJP_01531,EGPCAGCP_01391,FIDFLPKG_01642
group_2295,,hypothetical protein,12,12,1.0,1,4374,,,,261,300,296.75,BEOABDLH_01863,IGIKDAHF_01534,DPGEGJOO_01341,MPBMMNBG_01618,INCINKBK_01737,AAIMJHFH_02294,CEOONHHG_01330,NAIMLHBL_01374,FBJECBCC_01366,DHFEOIJP_01529,EGPCAGCP_01389,FIDFLPKG_01640
group_2294,,hypothetical protein,12,12,1.0,1,4373,,,,363,363,363.0,BEOABDLH_01861,IGIKDAHF_01532,DPGEGJOO_01339,MPBMMNBG_01616,INCINKBK_01735,AAIMJHFH_02292,CEOONHHG_01328,NAIMLHBL_01372,FBJECBCC_01364,DHFEOIJP_01527,EGPCAGCP_01387,FIDFLPKG_01638
group_2292,,hypothetical protein,12,12,1.0,1,4371,,,,297,297,297.0,BEOABDLH_03861,IGIKDAHF_03515,DPGEGJOO_03215,MPBMMNBG_03529,INCINKBK_03778,AAIMJHFH_04329,CEOONHHG_03400,NAIMLHBL_03399,FBJECBCC_03240,DHFEOIJP_03524,EGPCAGCP_03255,FIDFLPKG_03582
mnmC_2,mnmC_2,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,12,12,1.0,1,4370,,,,717,759,744.75,BEOABDLH_04288,IGIKDAHF_03955,DPGEGJOO_03640,MPBMMNBG_03984,INCINKBK_04213,AAIMJHFH_04760,CEOONHHG_03825,NAIMLHBL_03835,FBJECBCC_03666,DHFEOIJP_03966,EGPCAGCP_03687,FIDFLPKG_04030
group_2289,,hypothetical protein,12,12,1.0,1,4366,,,,1104,1107,1106.0,BEOABDLH_03822,IGIKDAHF_03473,DPGEGJOO_03176,MPBMMNBG_03488,INCINKBK_03738,AAIMJHFH_04290,CEOONHHG_03360,NAIMLHBL_03357,FBJECBCC_03200,DHFEOIJP_03485,EGPCAGCP_03216,FIDFLPKG_03544
group_2286,,hypothetical protein,12,12,1.0,1,4363,,,,183,183,183.0,BEOABDLH_02455,IGIKDAHF_02142,DPGEGJOO_01933,MPBMMNBG_02234,INCINKBK_02411,AAIMJHFH_02956,CEOONHHG_01920,NAIMLHBL_01984,FBJECBCC_01959,DHFEOIJP_02130,EGPCAGCP_01977,FIDFLPKG_02233
group_2284,,hypothetical protein,12,12,1.0,1,4361,,,,222,222,222.0,BEOABDLH_03426,IGIKDAHF_03048,DPGEGJOO_02783,MPBMMNBG_03104,INCINKBK_03341,AAIMJHFH_03871,CEOONHHG_02770,NAIMLHBL_02857,FBJECBCC_02807,DHFEOIJP_03090,EGPCAGCP_02818,FIDFLPKG_03150
clpP_1,clpP_1,ATP-dependent Clp protease proteolytic subunit,12,12,1.0,1,4360,,,,612,612,612.0,BEOABDLH_01753,IGIKDAHF_01401,DPGEGJOO_01231,MPBMMNBG_00922,INCINKBK_00073,AAIMJHFH_02181,CEOONHHG_01218,NAIMLHBL_01253,FBJECBCC_01268,DHFEOIJP_01451,EGPCAGCP_01302,FIDFLPKG_01554
group_2282,,hypothetical protein,12,12,1.0,1,4358,,,,885,885,885.0,BEOABDLH_04965,IGIKDAHF_04638,DPGEGJOO_04331,MPBMMNBG_04760,INCINKBK_04930,AAIMJHFH_05406,CEOONHHG_04518,NAIMLHBL_04864,FBJECBCC_04357,DHFEOIJP_04657,EGPCAGCP_04371,FIDFLPKG_04773
group_2281,,hypothetical protein,12,12,1.0,1,4357,,,,1803,1806,1804.0,BEOABDLH_03039,IGIKDAHF_02643,DPGEGJOO_02401,MPBMMNBG_02716,INCINKBK_02930,AAIMJHFH_03488,CEOONHHG_02381,NAIMLHBL_02396,FBJECBCC_02425,DHFEOIJP_02683,EGPCAGCP_02431,FIDFLPKG_02760
group_2275,,hypothetical protein,12,12,1.0,1,4350,,,,198,336,313.0,BEOABDLH_02029,IGIKDAHF_01714,DPGEGJOO_01506,MPBMMNBG_01805,INCINKBK_01923,AAIMJHFH_02462,CEOONHHG_01494,NAIMLHBL_01557,FBJECBCC_01530,DHFEOIJP_01703,EGPCAGCP_01552,FIDFLPKG_01807
group_2274,,hypothetical protein,12,12,1.0,1,4349,,,,498,498,498.0,BEOABDLH_02481,IGIKDAHF_02167,DPGEGJOO_01958,MPBMMNBG_02261,INCINKBK_02439,AAIMJHFH_02982,CEOONHHG_01946,NAIMLHBL_02009,FBJECBCC_01983,DHFEOIJP_02294,EGPCAGCP_02001,FIDFLPKG_02259
cobQ~~~cobQ_2,cobQ;cobQ_2,Cobyric acid synthase,12,12,1.0,1,4347,,,,1467,1470,1467.5,BEOABDLH_03500,IGIKDAHF_03129,DPGEGJOO_02857,MPBMMNBG_03179,INCINKBK_03420,AAIMJHFH_03949,CEOONHHG_02844,NAIMLHBL_02938,FBJECBCC_02881,DHFEOIJP_03167,EGPCAGCP_02892,FIDFLPKG_03224
group_2273,,hypothetical protein,12,12,1.0,1,4346,,,,1215,1215,1215.0,BEOABDLH_06351,IGIKDAHF_05923,DPGEGJOO_06301,MPBMMNBG_06018,INCINKBK_06158,AAIMJHFH_06613,CEOONHHG_06107,NAIMLHBL_05688,FBJECBCC_05730,DHFEOIJP_05574,EGPCAGCP_05648,FIDFLPKG_06496
group_2272,,hypothetical protein,12,13,1.0833333333333333,1,4345,,,,201,1185,1088.7692307692307,BEOABDLH_05800,IGIKDAHF_05276,DPGEGJOO_05140,MPBMMNBG_05389,INCINKBK_05700,AAIMJHFH_06177,CEOONHHG_05246;CEOONHHG_05247,NAIMLHBL_04581,FBJECBCC_05170,DHFEOIJP_05484,EGPCAGCP_05377,FIDFLPKG_05945
nhhA,nhhA,High-molecular weight cobalt-containing nitrile hydratase subunit alpha,12,12,1.0,1,4342,,,,618,654,644.25,BEOABDLH_03913,IGIKDAHF_03576,DPGEGJOO_03269,MPBMMNBG_03602,INCINKBK_03834,AAIMJHFH_04382,CEOONHHG_03454,NAIMLHBL_03460,FBJECBCC_03294,DHFEOIJP_03582,EGPCAGCP_03305,FIDFLPKG_03633
group_2269,,hypothetical protein,12,12,1.0,1,4341,,,,366,366,366.0,BEOABDLH_01900,IGIKDAHF_01573,DPGEGJOO_01377,MPBMMNBG_01665,INCINKBK_01787,AAIMJHFH_02334,CEOONHHG_01367,NAIMLHBL_01413,FBJECBCC_01401,DHFEOIJP_01571,EGPCAGCP_01425,FIDFLPKG_01676
group_2268,,hypothetical protein,12,12,1.0,1,4340,,,,738,741,739.5,BEOABDLH_01896,IGIKDAHF_01569,DPGEGJOO_01373,MPBMMNBG_01660,INCINKBK_01781,AAIMJHFH_02330,CEOONHHG_01363,NAIMLHBL_01409,FBJECBCC_01397,DHFEOIJP_01567,EGPCAGCP_01421,FIDFLPKG_01672
pgrR_1~~~pgrR_2,pgrR_1;pgrR_2,HTH-type transcriptional regulator PgrR,12,12,1.0,1,4338,,,,909,909,909.0,BEOABDLH_00814,IGIKDAHF_00424,DPGEGJOO_00348,MPBMMNBG_00608,INCINKBK_00792,AAIMJHFH_01266,CEOONHHG_00261,NAIMLHBL_00283,FBJECBCC_00385,DHFEOIJP_00521,EGPCAGCP_00348,FIDFLPKG_00588
group_2267,,hypothetical protein,12,12,1.0,1,4337,,,,495,495,495.0,BEOABDLH_04765,IGIKDAHF_04439,DPGEGJOO_04130,MPBMMNBG_04561,INCINKBK_04733,AAIMJHFH_05239,CEOONHHG_04315,NAIMLHBL_04389,FBJECBCC_04155,DHFEOIJP_04465,EGPCAGCP_04166,FIDFLPKG_04576
group_2266,,hypothetical protein,12,12,1.0,1,4336,,,,378,381,380.5,BEOABDLH_03227,IGIKDAHF_02846,DPGEGJOO_02583,MPBMMNBG_02904,INCINKBK_03128,AAIMJHFH_03675,CEOONHHG_02570,NAIMLHBL_02654,FBJECBCC_02607,DHFEOIJP_02880,EGPCAGCP_02619,FIDFLPKG_02949
group_2261,,putative acetyl-CoA acyltransferase,12,12,1.0,1,4328,,,,1203,1206,1205.25,BEOABDLH_06864,IGIKDAHF_06207,DPGEGJOO_05324,MPBMMNBG_06307,INCINKBK_06499,AAIMJHFH_07409,CEOONHHG_06564,NAIMLHBL_06198,FBJECBCC_06079,DHFEOIJP_06382,EGPCAGCP_06414,FIDFLPKG_06908
group_2260,,hypothetical protein,12,12,1.0,1,4327,,,,558,561,558.25,BEOABDLH_06860,IGIKDAHF_06203,DPGEGJOO_05320,MPBMMNBG_06303,INCINKBK_06495,AAIMJHFH_07405,CEOONHHG_06560,NAIMLHBL_06194,FBJECBCC_06075,DHFEOIJP_06376,EGPCAGCP_06410,FIDFLPKG_06904
group_2259,,hypothetical protein,12,12,1.0,1,4326,,,,240,240,240.0,BEOABDLH_04058,IGIKDAHF_03725,DPGEGJOO_03411,MPBMMNBG_03754,INCINKBK_03986,AAIMJHFH_04528,CEOONHHG_03598,NAIMLHBL_03609,FBJECBCC_03437,DHFEOIJP_03728,EGPCAGCP_03449,FIDFLPKG_03777
